,ko,ec
2405,ko:K03741,ec:1.20.4.4
2406,ko:K03742,ec:3.5.1.42
2407,ko:K03743,ec:3.5.1.42
2408,ko:K03750,ec:2.10.1.1
2409,ko:K03752,ec:2.7.7.77
2410,ko:K03760,ec:2.7.8.43
2411,ko:K03763,ec:2.7.7.7
2412,ko:K03766,ec:2.4.1.206
2413,ko:K03767,ec:5.2.1.8
2414,ko:K03768,ec:5.2.1.8
2415,ko:K03769,ec:5.2.1.8
2416,ko:K03770,ec:5.2.1.8
2417,ko:K03771,ec:5.2.1.8
2418,ko:K03772,ec:5.2.1.8
2419,ko:K03773,ec:5.2.1.8
2420,ko:K03774,ec:5.2.1.8
2421,ko:K03775,ec:5.2.1.8
2422,ko:K03777,ec:1.1.5.12
2423,ko:K03778,ec:1.1.1.28
2424,ko:K03779,ec:4.2.1.32
2425,ko:K03780,ec:4.2.1.32
2426,ko:K03781,ec:1.11.1.6
2427,ko:K03782,ec:1.11.1.21
2428,ko:K03783,ec:2.4.2.1
2429,ko:K03784,ec:2.4.2.1
2430,ko:K03785,ec:4.2.1.10
2431,ko:K03786,ec:4.2.1.10
2432,ko:K03787,ec:3.1.3.5
2433,ko:K03787,ec:3.1.3.6
2434,ko:K03788,ec:3.1.3.2
2435,ko:K03789,ec:2.3.1.266
2436,ko:K03790,ec:2.3.1.267
2437,ko:K03792,ec:2.4.3.6
2438,ko:K03793,ec:1.5.1.33
2439,ko:K03794,ec:4.99.1.4
2440,ko:K03795,ec:4.99.1.3
2441,ko:K03797,ec:3.4.21.102
2442,ko:K03800,ec:6.3.1.20
2443,ko:K03801,ec:2.3.1.181
2444,ko:K03802,ec:6.3.2.29
2445,ko:K03802,ec:6.3.2.30
2446,ko:K03806,ec:3.5.1.28
2447,ko:K03809,ec:1.6.5.2
2448,ko:K03814,ec:2.4.1.129
2449,ko:K03816,ec:2.4.2.22
2450,ko:K03820,ec:2.3.1.269
2451,ko:K03821,ec:2.3.1.304
2452,ko:K03823,ec:2.3.1.183
2453,ko:K03825,ec:2.3.1.53
2454,ko:K03831,ec:2.7.7.75
2455,ko:K03841,ec:3.1.3.11
2456,ko:K03842,ec:2.4.1.142
2457,ko:K03843,ec:2.4.1.132
2458,ko:K03843,ec:2.4.1.257
2459,ko:K03844,ec:2.4.1.131
2460,ko:K03845,ec:2.4.1.258
2461,ko:K03846,ec:2.4.1.259
2462,ko:K03846,ec:2.4.1.261
2463,ko:K03847,ec:2.4.1.260
2464,ko:K03848,ec:2.4.1.267
2465,ko:K03849,ec:2.4.1.265
2466,ko:K03850,ec:2.4.1.256
2467,ko:K03851,ec:2.6.1.77
2468,ko:K03852,ec:2.3.3.15
2469,ko:K03853,ec:3.4.22.53
2470,ko:K03856,ec:2.5.1.54
2471,ko:K03857,ec:2.4.1.198
2472,ko:K03862,ec:1.14.13.82
2473,ko:K03865,ec:6.3.5.7
2474,ko:K03868,ec:2.3.2.32
2475,ko:K03874,ec:2.3.2.26
2476,ko:K03878,ec:7.1.1.2
2477,ko:K03879,ec:7.1.1.2
2478,ko:K03880,ec:7.1.1.2
2479,ko:K03881,ec:7.1.1.2
2480,ko:K03882,ec:7.1.1.2
2481,ko:K03883,ec:7.1.1.2
2482,ko:K03884,ec:7.1.1.2
2483,ko:K03885,ec:1.6.5.9
2484,ko:K03894,ec:6.3.2.38
2485,ko:K03895,ec:6.3.2.39
2486,ko:K03896,ec:2.3.1.102
2487,ko:K03897,ec:1.14.13.59
2488,ko:K03917,ec:2.3.2.13
2489,ko:K03918,ec:2.6.1.36
2490,ko:K03919,ec:1.14.11.33
2491,ko:K03921,ec:1.14.19.2
2492,ko:K03921,ec:1.14.19.11
2493,ko:K03921,ec:1.14.19.26
2494,ko:K03922,ec:1.14.19.2
2495,ko:K03923,ec:1.6.5.10
2496,ko:K03927,ec:3.1.1.1
2497,ko:K03927,ec:3.1.1.84
2498,ko:K03927,ec:3.1.1.56
2499,ko:K03928,ec:3.1.1.1
2500,ko:K03934,ec:7.1.1.2
2501,ko:K03935,ec:7.1.1.2
2502,ko:K03936,ec:7.1.1.2
2503,ko:K03940,ec:7.1.1.2
2504,ko:K03941,ec:7.1.1.2
2505,ko:K03942,ec:7.1.1.2
2506,ko:K03943,ec:7.1.1.2
2507,ko:K03981,ec:5.3.4.1
2508,ko:K03993,ec:3.4.21.104
2509,ko:K04032,ec:2.5.1.154
2510,ko:K04034,ec:1.21.98.3
2511,ko:K04035,ec:1.14.13.81
2512,ko:K04037,ec:1.3.7.7
2513,ko:K04038,ec:1.3.7.7
2514,ko:K04039,ec:1.3.7.7
2515,ko:K04040,ec:2.5.1.62
2516,ko:K04040,ec:2.5.1.133
2517,ko:K04041,ec:3.1.3.11
2518,ko:K04042,ec:2.7.7.23
2519,ko:K04042,ec:2.3.1.157
2520,ko:K04063,ec:1.11.1.28
2521,ko:K04066,ec:5.6.2.4
2522,ko:K04068,ec:1.97.1.4
2523,ko:K04069,ec:1.97.1.4
2524,ko:K04070,ec:1.97.1.4
2525,ko:K04072,ec:1.2.1.10
2526,ko:K04072,ec:1.1.1.1
2527,ko:K04073,ec:1.2.1.10
2528,ko:K04075,ec:6.3.4.19
2529,ko:K04076,ec:3.4.21.53
2530,ko:K04077,ec:5.6.1.7
2531,ko:K04084,ec:1.8.4.16
2532,ko:K04090,ec:1.2.7.8
2533,ko:K04091,ec:1.14.14.5
2534,ko:K04091,ec:1.14.14.34
2535,ko:K04092,ec:5.4.99.5
2536,ko:K04093,ec:5.4.99.5
2537,ko:K04094,ec:2.1.1.74
2538,ko:K04095,ec:2.7.7.108
2539,ko:K04097,ec:5.3.99.2
2540,ko:K04097,ec:2.5.1.18
2541,ko:K04098,ec:1.13.11.37
2542,ko:K04099,ec:1.13.11.57
2543,ko:K04100,ec:1.13.11.8
2544,ko:K04101,ec:1.13.11.8
2545,ko:K04102,ec:4.1.1.55
2546,ko:K04103,ec:4.1.1.74
2547,ko:K04105,ec:6.2.1.27
2548,ko:K04105,ec:6.2.1.25
2549,ko:K04107,ec:1.1.7.1
2550,ko:K04108,ec:1.1.7.1
2551,ko:K04109,ec:1.1.7.1
2552,ko:K04110,ec:6.2.1.25
2553,ko:K04112,ec:1.3.7.8
2554,ko:K04113,ec:1.3.7.8
2555,ko:K04114,ec:1.3.7.8
2556,ko:K04115,ec:1.3.7.8
2557,ko:K04118,ec:1.3.1.62
2558,ko:K04119,ec:1.1.1.51
2559,ko:K04119,ec:1.1.1.188
2560,ko:K04119,ec:1.1.1.213
2561,ko:K04119,ec:1.1.1.357
2562,ko:K04120,ec:5.5.1.13
2563,ko:K04121,ec:4.2.3.19
2564,ko:K04122,ec:1.14.14.86
2565,ko:K04123,ec:1.14.14.107
2566,ko:K04124,ec:1.14.11.15
2567,ko:K04125,ec:1.14.11.13
2568,ko:K04126,ec:1.21.3.1
2569,ko:K04127,ec:5.1.1.17
2570,ko:K04128,ec:2.1.3.7
2571,ko:K04283,ec:1.8.1.12
2572,ko:K04339,ec:2.7.1.65
2573,ko:K04340,ec:2.1.4.2
2574,ko:K04341,ec:2.4.2.27
2575,ko:K04342,ec:3.1.3.39
2576,ko:K04343,ec:2.7.1.72
2577,ko:K04345,ec:2.7.11.11
2578,ko:K04348,ec:3.1.3.16
2579,ko:K04360,ec:2.7.10.1
2580,ko:K04361,ec:2.7.10.1
2581,ko:K04362,ec:2.7.10.1
2582,ko:K04363,ec:2.7.10.1
2583,ko:K04365,ec:2.7.11.1
2584,ko:K04366,ec:2.7.11.1
2585,ko:K04367,ec:2.7.11.1
2586,ko:K04368,ec:2.7.12.2
2587,ko:K04369,ec:2.7.12.2
2588,ko:K04371,ec:2.7.11.24
2589,ko:K04372,ec:2.7.11.1
2590,ko:K04373,ec:2.7.11.1
2591,ko:K04382,ec:3.1.3.16
2592,ko:K04388,ec:2.7.11.30
2593,ko:K04394,ec:3.4.22.57
2594,ko:K04394,ec:3.4.22.64
2595,ko:K04395,ec:3.4.22.58
2596,ko:K04396,ec:3.4.22.59
2597,ko:K04397,ec:3.4.22.60
2598,ko:K04398,ec:3.4.22.61
2599,ko:K04399,ec:3.4.22.62
2600,ko:K04400,ec:3.4.22.63
2601,ko:K04406,ec:2.7.11.1
2602,ko:K04407,ec:2.7.11.1
2603,ko:K04408,ec:2.7.11.1
2604,ko:K04409,ec:2.7.11.1
2605,ko:K04410,ec:2.7.11.1
2606,ko:K04413,ec:2.7.11.1
2607,ko:K04414,ec:2.7.11.1
2608,ko:K04415,ec:2.7.11.25
2609,ko:K04416,ec:2.7.11.25
2610,ko:K04417,ec:2.7.11.25
2611,ko:K04418,ec:2.7.11.25
2612,ko:K04419,ec:2.7.11.25
2613,ko:K04420,ec:2.7.11.25
2614,ko:K04421,ec:2.7.11.25
2615,ko:K04422,ec:2.7.11.25
2616,ko:K04423,ec:2.7.11.25
2617,ko:K04424,ec:2.7.11.25
2618,ko:K04425,ec:2.7.11.25
2619,ko:K04426,ec:2.7.11.25
2620,ko:K04427,ec:2.7.11.25
2621,ko:K04428,ec:2.7.11.25
2622,ko:K04429,ec:2.7.11.1
2623,ko:K04430,ec:2.7.12.2
2624,ko:K04431,ec:2.7.12.2
2625,ko:K04432,ec:2.7.12.2
2626,ko:K04433,ec:2.7.12.2
2627,ko:K04440,ec:2.7.11.24
2628,ko:K04441,ec:2.7.11.24
2629,ko:K04442,ec:2.7.11.1
2630,ko:K04443,ec:2.7.11.1
2631,ko:K04444,ec:2.7.11.1
2632,ko:K04445,ec:2.7.11.1
2633,ko:K04447,ec:2.7.10.2
2634,ko:K04456,ec:2.7.11.1
2635,ko:K04457,ec:3.1.3.16
2636,ko:K04458,ec:3.1.3.48
2637,ko:K04459,ec:3.1.3.16
2638,ko:K04459,ec:3.1.3.48
2639,ko:K04460,ec:3.1.3.16
2640,ko:K04461,ec:3.1.3.16
2641,ko:K04462,ec:2.1.1.367
2642,ko:K04463,ec:2.7.12.2
2643,ko:K04464,ec:2.7.11.24
2644,ko:K04466,ec:2.7.11.25
2645,ko:K04467,ec:2.7.11.10
2646,ko:K04468,ec:2.7.11.24
2647,ko:K04478,ec:2.4.1.129
2648,ko:K04479,ec:2.7.7.7
2649,ko:K04480,ec:2.1.1.90
2650,ko:K04486,ec:3.1.3.15
2651,ko:K04487,ec:2.8.1.7
2652,ko:K04496,ec:1.1.1.428
2653,ko:K04498,ec:2.3.1.48
2654,ko:K04499,ec:5.6.2.4
2655,ko:K04506,ec:2.3.2.27
2656,ko:K04514,ec:2.7.11.1
2657,ko:K04515,ec:2.7.11.17
2658,ko:K04516,ec:5.4.99.5
2659,ko:K04517,ec:1.3.1.12
2660,ko:K04518,ec:4.2.1.51
2661,ko:K04521,ec:3.4.23.46
2662,ko:K04527,ec:2.7.10.1
2663,ko:K04552,ec:2.3.2.23
2664,ko:K04553,ec:2.3.2.23
2665,ko:K04554,ec:2.3.2.23
2666,ko:K04555,ec:2.3.2.23
2667,ko:K04556,ec:2.3.2.31
2668,ko:K04561,ec:1.7.2.5
2669,ko:K04563,ec:2.7.11.22
2670,ko:K04564,ec:1.15.1.1
2671,ko:K04565,ec:1.15.1.1
2672,ko:K04566,ec:6.1.1.6
2673,ko:K04567,ec:6.1.1.6
2674,ko:K04618,ec:1.1.3.9
2675,ko:K04628,ec:2.4.1.47
2676,ko:K04649,ec:2.3.2.23
2677,ko:K04670,ec:2.7.11.30
2678,ko:K04671,ec:2.7.11.30
2679,ko:K04672,ec:2.7.11.30
2680,ko:K04673,ec:2.7.11.30
2681,ko:K04674,ec:2.7.11.30
2682,ko:K04675,ec:2.7.11.30
2683,ko:K04678,ec:2.3.2.26
2684,ko:K04688,ec:2.7.11.1
2685,ko:K04702,ec:2.7.11.1
2686,ko:K04707,ec:2.3.2.27
2687,ko:K04708,ec:1.1.1.102
2688,ko:K04709,ec:2.3.1.297
2689,ko:K04710,ec:2.3.1.299
2690,ko:K04712,ec:1.14.19.17
2691,ko:K04712,ec:1.14.18.5
2692,ko:K04713,ec:1.14.18.5
2693,ko:K04714,ec:2.7.8.27
2694,ko:K04715,ec:2.7.1.138
2695,ko:K04718,ec:2.7.1.91
2696,ko:K04719,ec:1.13.11.79
2697,ko:K04720,ec:4.1.1.81
2698,ko:K04725,ec:2.3.2.27
2699,ko:K04728,ec:2.7.11.1
2700,ko:K04730,ec:2.7.11.1
2701,ko:K04731,ec:2.7.11.1
2702,ko:K04732,ec:2.7.11.1
2703,ko:K04733,ec:2.7.11.1
2704,ko:K04742,ec:2.8.2.5
2705,ko:K04743,ec:2.8.2.17
2706,ko:K04756,ec:1.11.1.28
2707,ko:K04757,ec:2.7.11.1
2708,ko:K04765,ec:3.6.1.9
2709,ko:K04771,ec:3.4.21.107
2710,ko:K04780,ec:6.2.1.66
2711,ko:K04781,ec:5.4.4.2
2712,ko:K04781,ec:4.2.99.21
2713,ko:K04782,ec:4.2.99.21
2714,ko:K04794,ec:3.1.1.29
2715,ko:K04835,ec:4.3.1.2
2716,ko:K04940,ec:1.5.1.28
2717,ko:K04977,ec:3.6.1.13
2718,ko:K04981,ec:2.7.11.1
2719,ko:K04982,ec:2.7.11.1
2720,ko:K05031,ec:5.6.1.6
2721,ko:K05083,ec:2.7.10.1
2722,ko:K05084,ec:2.7.10.1
2723,ko:K05085,ec:2.7.10.1
2724,ko:K05086,ec:2.7.10.1
2725,ko:K05087,ec:2.7.10.1
2726,ko:K05088,ec:2.7.10.1
2727,ko:K05089,ec:2.7.10.1
2728,ko:K05090,ec:2.7.10.1
2729,ko:K05091,ec:2.7.10.1
2730,ko:K05092,ec:2.7.10.1
2731,ko:K05093,ec:2.7.10.1
2732,ko:K05094,ec:2.7.10.1
2733,ko:K05095,ec:2.7.10.1
2734,ko:K05096,ec:2.7.10.1
2735,ko:K05097,ec:2.7.10.1
2736,ko:K05098,ec:2.7.10.1
2737,ko:K05099,ec:2.7.10.1
2738,ko:K05100,ec:2.7.10.1
2739,ko:K05101,ec:2.7.10.1
2740,ko:K05102,ec:2.7.10.1
2741,ko:K05103,ec:2.7.10.1
2742,ko:K05104,ec:2.7.10.1
2743,ko:K05105,ec:2.7.10.1
2744,ko:K05106,ec:2.7.10.1
2745,ko:K05107,ec:2.7.10.1
2746,ko:K05108,ec:2.7.10.1
2747,ko:K05109,ec:2.7.10.1
2748,ko:K05110,ec:2.7.10.1
2749,ko:K05111,ec:2.7.10.1
2750,ko:K05112,ec:2.7.10.1
2751,ko:K05113,ec:2.7.10.1
2752,ko:K05114,ec:2.7.10.1
2753,ko:K05115,ec:2.7.10.1
2754,ko:K05116,ec:2.7.10.1
2755,ko:K05117,ec:2.7.10.1
2756,ko:K05118,ec:2.7.10.1
2757,ko:K05119,ec:2.7.10.1
2758,ko:K05120,ec:2.7.10.1
2759,ko:K05121,ec:2.7.10.1
2760,ko:K05122,ec:2.7.10.1
2761,ko:K05123,ec:2.7.10.1
2762,ko:K05124,ec:2.7.10.1
2763,ko:K05125,ec:2.7.10.1
2764,ko:K05126,ec:2.7.10.1
2765,ko:K05127,ec:2.7.10.1
2766,ko:K05128,ec:2.7.10.1
2767,ko:K05129,ec:2.7.10.1
2768,ko:K05275,ec:1.1.1.65
2769,ko:K05277,ec:1.14.20.4
2770,ko:K05278,ec:1.14.20.6
2771,ko:K05279,ec:2.1.1.76
2772,ko:K05280,ec:1.14.14.82
2773,ko:K05281,ec:1.3.1.45
2774,ko:K05282,ec:1.14.11.12
2775,ko:K05295,ec:1.1.1.149
2776,ko:K05296,ec:1.1.1.51
2777,ko:K05297,ec:1.18.1.1
2778,ko:K05298,ec:1.2.1.13
2779,ko:K05299,ec:1.17.1.10
2780,ko:K05301,ec:1.8.2.1
2781,ko:K05304,ec:2.5.1.56
2782,ko:K05304,ec:2.5.1.57
2783,ko:K05304,ec:2.5.1.132
2784,ko:K05305,ec:2.7.1.52
2785,ko:K05306,ec:3.11.1.1
2786,ko:K05307,ec:3.6.1.28
2787,ko:K05308,ec:4.2.1.140
2788,ko:K05309,ec:5.3.99.3
2789,ko:K05341,ec:2.4.1.4
2790,ko:K05342,ec:2.4.1.64
2791,ko:K05343,ec:5.4.99.16
2792,ko:K05343,ec:3.2.1.1
2793,ko:K05345,ec:4.6.1.25
2794,ko:K05349,ec:3.2.1.21
2795,ko:K05350,ec:3.2.1.21
2796,ko:K05351,ec:1.1.1.9
2797,ko:K05352,ec:1.1.1.405
2798,ko:K05353,ec:2.1.1.53
2799,ko:K05354,ec:1.1.1.236
2800,ko:K05355,ec:2.5.1.82
2801,ko:K05355,ec:2.5.1.83
2802,ko:K05356,ec:2.5.1.84
2803,ko:K05356,ec:2.5.1.85
2804,ko:K05357,ec:1.17.4.4
2805,ko:K05358,ec:1.1.5.8
2806,ko:K05359,ec:4.2.1.91
2807,ko:K05359,ec:4.2.1.51
2808,ko:K05360,ec:1.8.4.2
2809,ko:K05361,ec:1.11.1.12
2810,ko:K05362,ec:6.3.2.7
2811,ko:K05363,ec:2.3.2.10
2812,ko:K05365,ec:2.4.1.129
2813,ko:K05365,ec:3.4.16.4
2814,ko:K05366,ec:2.4.1.129
2815,ko:K05366,ec:3.4.16.4
2816,ko:K05367,ec:2.4.1.129
2817,ko:K05368,ec:1.5.1.41
2818,ko:K05369,ec:1.3.7.2
2819,ko:K05370,ec:1.3.7.3
2820,ko:K05371,ec:1.3.7.5
2821,ko:K05394,ec:3.8.1.8
2822,ko:K05396,ec:4.4.1.15
2823,ko:K05410,ec:2.7.11.10
2824,ko:K05502,ec:3.4.24.19
2825,ko:K05515,ec:3.4.16.4
2826,ko:K05518,ec:3.1.3.3
2827,ko:K05520,ec:3.5.1.124
2828,ko:K05521,ec:3.2.2.24
2829,ko:K05522,ec:4.2.99.18
2830,ko:K05523,ec:4.2.1.130
2831,ko:K05523,ec:3.5.1.124
2832,ko:K05525,ec:1.14.14.84
2833,ko:K05526,ec:3.5.1.96
2834,ko:K05528,ec:2.4.1.232
2835,ko:K05529,ec:2.4.1.232
2836,ko:K05542,ec:1.3.1.88
2837,ko:K05543,ec:1.3.1.91
2838,ko:K05544,ec:1.3.1.89
2839,ko:K05545,ec:1.3.1.90
2840,ko:K05546,ec:3.2.1.207
2841,ko:K05549,ec:1.14.12.10
2842,ko:K05550,ec:1.14.12.10
2843,ko:K05551,ec:2.3.1.260
2844,ko:K05551,ec:2.3.1.235
2845,ko:K05552,ec:2.3.1.260
2846,ko:K05552,ec:2.3.1.235
2847,ko:K05572,ec:7.1.1.2
2848,ko:K05573,ec:7.1.1.2
2849,ko:K05574,ec:7.1.1.2
2850,ko:K05575,ec:7.1.1.2
2851,ko:K05576,ec:7.1.1.2
2852,ko:K05577,ec:7.1.1.2
2853,ko:K05578,ec:7.1.1.2
2854,ko:K05579,ec:7.1.1.2
2855,ko:K05580,ec:7.1.1.2
2856,ko:K05581,ec:7.1.1.2
2857,ko:K05582,ec:7.1.1.2
2858,ko:K05583,ec:7.1.1.2
2859,ko:K05584,ec:7.1.1.2
2860,ko:K05585,ec:7.1.1.2
2861,ko:K05586,ec:7.1.1.2
2862,ko:K05587,ec:7.1.1.2
2863,ko:K05588,ec:7.1.1.2
2864,ko:K05590,ec:3.6.4.13
2865,ko:K05591,ec:3.6.4.13
2866,ko:K05592,ec:3.6.4.13
2867,ko:K05597,ec:3.5.1.38
2868,ko:K05599,ec:1.14.12.1
2869,ko:K05600,ec:1.14.12.1
2870,ko:K05601,ec:1.7.99.1
2871,ko:K05602,ec:3.1.3.15
2872,ko:K05603,ec:3.5.3.13
2873,ko:K05604,ec:3.4.13.20
2874,ko:K05605,ec:3.1.2.4
2875,ko:K05606,ec:5.1.99.1
2876,ko:K05607,ec:4.2.1.18
2877,ko:K05609,ec:3.4.19.12
2878,ko:K05610,ec:3.4.19.12
2879,ko:K05611,ec:3.4.19.12
2880,ko:K05619,ec:2.3.2.13
2881,ko:K05620,ec:2.3.2.13
2882,ko:K05621,ec:2.3.2.13
2883,ko:K05622,ec:2.3.2.13
2884,ko:K05623,ec:2.3.2.13
2885,ko:K05624,ec:2.3.2.13
2886,ko:K05625,ec:2.3.2.13
2887,ko:K05630,ec:2.3.2.26
2888,ko:K05632,ec:2.3.2.26
2889,ko:K05633,ec:2.3.2.26
2890,ko:K05653,ec:7.4.2.14
2891,ko:K05654,ec:7.4.2.14
2892,ko:K05658,ec:7.6.2.2
2893,ko:K05659,ec:7.6.2.2
2894,ko:K05665,ec:7.6.2.3
2895,ko:K05675,ec:7.6.2.4
2896,ko:K05676,ec:7.6.2.4
2897,ko:K05677,ec:7.6.2.4
2898,ko:K05678,ec:7.6.2.8
2899,ko:K05687,ec:3.5.1.124
2900,ko:K05688,ec:2.7.11.1
2901,ko:K05693,ec:3.1.3.48
2902,ko:K05694,ec:3.1.3.48
2903,ko:K05695,ec:3.1.3.48
2904,ko:K05696,ec:3.1.3.48
2905,ko:K05697,ec:3.1.3.48
2906,ko:K05698,ec:3.1.3.48
2907,ko:K05703,ec:2.7.10.2
2908,ko:K05704,ec:2.7.10.2
2909,ko:K05705,ec:2.7.10.2
2910,ko:K05708,ec:1.14.12.19
2911,ko:K05709,ec:1.14.12.19
2912,ko:K05711,ec:1.3.1.87
2913,ko:K05712,ec:1.14.13.127
2914,ko:K05713,ec:1.13.11.16
2915,ko:K05714,ec:3.7.1.14
2916,ko:K05715,ec:2.7.2.16
2917,ko:K05716,ec:6.5.1.9
2918,ko:K05725,ec:2.7.10.2
2919,ko:K05728,ec:2.7.10.2
2920,ko:K05733,ec:2.7.11.1
2921,ko:K05734,ec:2.7.11.1
2922,ko:K05735,ec:2.7.11.1
2923,ko:K05736,ec:2.7.11.1
2924,ko:K05743,ec:2.7.11.1
2925,ko:K05744,ec:2.7.11.1
2926,ko:K05766,ec:3.1.3.16
2927,ko:K05766,ec:3.1.3.48
2928,ko:K05774,ec:2.7.4.23
2929,ko:K05780,ec:2.7.8.37
2930,ko:K05783,ec:1.3.1.25
2931,ko:K05797,ec:1.17.9.1
2932,ko:K05810,ec:2.4.2.1
2933,ko:K05810,ec:2.4.2.28
2934,ko:K05810,ec:3.5.4.4
2935,ko:K05812,ec:2.5.1.25
2936,ko:K05816,ec:7.6.2.10
2937,ko:K05821,ec:2.6.1.58
2938,ko:K05821,ec:2.6.1.28
2939,ko:K05822,ec:2.3.1.89
2940,ko:K05823,ec:3.5.1.47
2941,ko:K05824,ec:1.1.1.87
2942,ko:K05827,ec:6.3.2.43
2943,ko:K05828,ec:2.7.2.17
2944,ko:K05828,ec:2.7.2.19
2945,ko:K05829,ec:1.2.1.103
2946,ko:K05829,ec:1.2.1.106
2947,ko:K05830,ec:2.6.1.118
2948,ko:K05830,ec:2.6.1.124
2949,ko:K05831,ec:3.5.1.130
2950,ko:K05831,ec:3.5.1.132
2951,ko:K05841,ec:2.4.1.173
2952,ko:K05847,ec:7.6.2.9
2953,ko:K05850,ec:7.2.2.10
2954,ko:K05851,ec:4.6.1.1
2955,ko:K05853,ec:7.2.2.10
2956,ko:K05854,ec:2.7.10.2
2957,ko:K05855,ec:2.7.10.2
2958,ko:K05856,ec:2.7.10.2
2959,ko:K05857,ec:3.1.4.11
2960,ko:K05858,ec:3.1.4.11
2961,ko:K05859,ec:3.1.4.11
2962,ko:K05860,ec:3.1.4.11
2963,ko:K05861,ec:3.1.4.11
2964,ko:K05864,ec:5.2.1.8
2965,ko:K05866,ec:3.1.3.48
2966,ko:K05867,ec:3.1.3.48
2967,ko:K05869,ec:2.7.11.17
2968,ko:K05871,ec:2.7.10.2
2969,ko:K05873,ec:4.6.1.1
2970,ko:K05878,ec:2.7.1.121
2971,ko:K05879,ec:2.7.1.121
2972,ko:K05881,ec:2.7.1.121
2973,ko:K05882,ec:1.1.1.91
2974,ko:K05884,ec:1.1.1.337
2975,ko:K05886,ec:1.1.1.276
2976,ko:K05887,ec:1.1.1.282
2977,ko:K05889,ec:1.1.2.6
2978,ko:K05894,ec:1.3.1.42
2979,ko:K05895,ec:1.3.1.54
2980,ko:K05895,ec:1.3.1.106
2981,ko:K05897,ec:1.3.3.16
2982,ko:K05898,ec:1.3.99.4
2983,ko:K05901,ec:1.3.1.24
2984,ko:K05901,ec:1.5.1.30
2985,ko:K05906,ec:1.8.3.5
2986,ko:K05906,ec:1.8.3.6
2987,ko:K05907,ec:1.8.4.9
2988,ko:K05908,ec:1.8.5.2
2989,ko:K05909,ec:1.10.3.2
2990,ko:K05910,ec:1.11.1.1
2991,ko:K05913,ec:1.13.11.41
2992,ko:K05914,ec:1.13.12.7
2993,ko:K05915,ec:1.13.11.89
2994,ko:K05915,ec:1.13.11.78
2995,ko:K05916,ec:1.14.12.17
2996,ko:K05917,ec:1.14.14.154
2997,ko:K05917,ec:1.14.15.36
2998,ko:K05918,ec:1.14.19.55
2999,ko:K05919,ec:1.15.1.2
3000,ko:K05921,ec:4.1.1.68
3001,ko:K05922,ec:1.12.5.1
3002,ko:K05925,ec:2.1.1.348
3003,ko:K05926,ec:2.1.1.230
3004,ko:K05927,ec:1.12.5.1
3005,ko:K05928,ec:2.1.1.95
3006,ko:K05929,ec:2.1.1.103
3007,ko:K05931,ec:2.1.1.319
3008,ko:K05933,ec:1.14.17.4
3009,ko:K05934,ec:2.1.1.131
3010,ko:K05934,ec:2.1.1.272
3011,ko:K05936,ec:2.1.1.133
3012,ko:K05936,ec:2.1.1.271
3013,ko:K05939,ec:2.3.1.40
3014,ko:K05939,ec:6.2.1.20
3015,ko:K05940,ec:2.3.1.137
3016,ko:K05941,ec:2.3.2.15
3017,ko:K05942,ec:2.3.3.3
3018,ko:K05946,ec:2.4.1.187
3019,ko:K05947,ec:2.4.1.217
3020,ko:K05948,ec:2.4.1.222
3021,ko:K05951,ec:2.4.2.37
3022,ko:K05953,ec:2.5.1.43
3023,ko:K05954,ec:2.5.1.58
3024,ko:K05955,ec:2.5.1.58
3025,ko:K05955,ec:2.5.1.59
3026,ko:K05956,ec:2.5.1.60
3027,ko:K05957,ec:2.6.1.50
3028,ko:K05960,ec:2.7.11.26
3029,ko:K05961,ec:2.7.1.145
3030,ko:K05964,ec:2.7.7.61
3031,ko:K05966,ec:2.4.2.52
3032,ko:K05969,ec:3.1.1.29
3033,ko:K05970,ec:3.1.1.53
3034,ko:K05972,ec:3.1.1.72
3035,ko:K05973,ec:3.1.1.75
3036,ko:K05977,ec:3.13.1.3
3037,ko:K05978,ec:3.1.3.69
3038,ko:K05979,ec:3.1.3.71
3039,ko:K05982,ec:3.1.21.7
3040,ko:K05985,ec:3.1.26.8
3041,ko:K05986,ec:3.1.30.1
3042,ko:K05988,ec:3.2.1.11
3043,ko:K05989,ec:3.2.1.40
3044,ko:K05991,ec:3.2.1.123
3045,ko:K05992,ec:3.2.1.133
3046,ko:K05994,ec:3.4.11.10
3047,ko:K05995,ec:3.4.13.21
3048,ko:K05996,ec:3.4.17.18
3049,ko:K05998,ec:3.4.21.100
3050,ko:K05999,ec:3.4.21.101
3051,ko:K06000,ec:3.4.22.2
3052,ko:K06001,ec:4.2.1.20
3053,ko:K06002,ec:3.4.23.1
3054,ko:K06004,ec:3.4.23.18
3055,ko:K06005,ec:3.4.23.24
3056,ko:K06007,ec:3.4.23.38
3057,ko:K06008,ec:3.4.23.39
3058,ko:K06009,ec:3.4.23.41
3059,ko:K06011,ec:3.4.24.69
3060,ko:K06012,ec:3.4.24.78
3061,ko:K06013,ec:3.4.24.84
3062,ko:K06015,ec:3.5.1.81
3063,ko:K06016,ec:3.5.1.6
3064,ko:K06016,ec:3.5.1.87
3065,ko:K06018,ec:3.6.1.10
3066,ko:K06019,ec:3.6.1.1
3067,ko:K06027,ec:3.6.4.6
3068,ko:K06033,ec:4.1.1.76
3069,ko:K06034,ec:4.1.1.79
3070,ko:K06035,ec:4.2.1.69
