,label
3300029595_13,Anaerobe
3300007208_12,Anaerobe
3300010396_63,Aerobe
3300014540_5,Anaerobe
3300021326_27,Anaerobe
3300008302_2,Facultative
3300029377_13,Anaerobe
3300014751_5,Anaerobe
3300029451_8,Anaerobe
3300026299_15,Aerobe
3300027618_3,Aerobe
3300007797_11,Anaerobe
3300028602_56,Anaerobe
3300025838_30,Anaerobe
3300018065_39,Anaerobe
3300027276_11,Anaerobe
3300000171_2,Anaerobe
3300026272_3,Aerobe
3300007793_8,Anaerobe
3300014625_2,Anaerobe
3300025601_3,Aerobe
3300011867_4,Aerobe
3300025442_9,Anaerobe
3300017991_47,Anaerobe
3300029421_11,Anaerobe
3300026509_30,Anaerobe
3300020406_23,Aerobe
3300025629_45,Anaerobe
3300007105_4,Anaerobe
3300008515_16,Anaerobe
3300025452_20,Aerobe
3300006038_23,Aerobe
3300026874_6,Aerobe
3300028283_27,Aerobe
3300025961_23,Aerobe
3300025596_16,Anaerobe
3300013133_141,Anaerobe
3300027850_22,Anaerobe
3300020463_36,Aerobe
3300011719_1,Aerobe
3300007566_25,Anaerobe
3300009381_8,Aerobe
3300012826_9,Aerobe
3300010373_19,Aerobe
3300025682_87,Aerobe
3300018016_11,Anaerobe
3300025230_1,Aerobe
3300008283_26,Anaerobe
3300024935_7,Aerobe
3300025244_5,Aerobe
3300002308_9,Anaerobe
3300000266_3,Aerobe
3300007316_37,Anaerobe
3300025847_49,Aerobe
3300009503_170,Anaerobe
3300025485_1,Anaerobe
3300025632_6,Aerobe
3300029842_27,Anaerobe
3300018910_10,Aerobe
3300008505_15,Aerobe
3300014057_19,Anaerobe
3300027351_8,Aerobe
3300028567_66,Anaerobe
3300025897_29,Aerobe
3300029707_14,Anaerobe
3300001915_4,Aerobe
3300029362_9,Anaerobe
3300023184_27,Aerobe
3300029668_10,Anaerobe
3300027328_18,Aerobe
3300020219_20,Aerobe
3300026016_2,Aerobe
3300002702_10,Anaerobe
3300029444_34,Anaerobe
3300014208_73,Facultative
3300020398_8,Aerobe
3300029771_10,Anaerobe
3300014060_72,Aerobe
3300012082_13,Anaerobe
3300029734_24,Anaerobe
3300025830_23,Aerobe
3300021375_18,Aerobe
3300008541_21,Aerobe
3300024256_14,Aerobe
3300029783_24,Anaerobe
3300021471_9,Anaerobe
3300013105_95,Aerobe
3300029690_25,Anaerobe
3300029595_32,Anaerobe
3300011824_7,Aerobe
3300008056_2,Facultative
3300025375_6,Anaerobe
3300024258_24,Anaerobe
3300027697_29,Aerobe
3300029843_22,Anaerobe
3300027728_38,Aerobe
3300007806_6,Anaerobe
3300006931_37,Anaerobe
3300022602_23,Aerobe
3300008300_2,Anaerobe
3300014886_17,Anaerobe
3300025303_12,Aerobe
3300024329_10,Aerobe
3300029681_19,Anaerobe
3300018023_27,Anaerobe
3300025631_7,Anaerobe
3300026825_13,Aerobe
3300029590_39,Anaerobe
3300011668_2,Facultative
3300011633_2,Facultative
3300002468_14,Aerobe
3300029904_20,Anaerobe
3300007035_7,Anaerobe
3300020200_100,Anaerobe
3300027962_9,Aerobe
3300008743_12,Anaerobe
3300009343_7,Anaerobe
3300009702_80,Aerobe
3300029501_6,Anaerobe
3300001567_19,Facultative
3300010265_27,Anaerobe
3300007519_13,Aerobe
3300014919_6,Anaerobe
3300029108_12,Anaerobe
3300008743_17,Anaerobe
3300008363_15,Aerobe
3300029719_27,Anaerobe
3300025649_14,Anaerobe
3300025589_22,Anaerobe
3300017990_22,Anaerobe
3300013886_5,Anaerobe
3300012192_2,Aerobe
3300026289_15,Aerobe
3300029439_19,Anaerobe
3300025724_40,Anaerobe
3300008581_12,Anaerobe
3300010354_74,Aerobe
3300005262_13,Aerobe
3300012824_5,Aerobe
3300018892_4,Aerobe
3300020733_2,Aerobe
3300013125_75,Anaerobe
3300020477_54,Aerobe
3300008716_26,Anaerobe
3300011588_1,Aerobe
3300025877_36,Anaerobe
3300022741_7,Aerobe
3300029840_21,Anaerobe
3300013190_2,Anaerobe
3300021843_30,Anaerobe
3300012265_9,Aerobe
3300017494_11,Anaerobe
3300010262_12,Anaerobe
3300010265_39,Anaerobe
3300025452_7,Anaerobe
3300012112_3,Aerobe
3300013717_1,Aerobe
3300025440_6,Aerobe
3300029494_31,Anaerobe
3300017518_41,Anaerobe
3300025622_47,Aerobe
3300020263_18,Aerobe
3300012270_6,Aerobe
3300011146_1,Aerobe
3300029647_9,Anaerobe
3300008486_35,Aerobe
3300029105_6,Anaerobe
3300029671_10,Anaerobe
3300026519_68,Anaerobe
3300011977_24,Anaerobe
3300021604_12,Aerobe
3300011737_2,Aerobe
3300017697_18,Aerobe
3300027283_75,Aerobe
3300008063_22,Anaerobe
3300027147_5,Aerobe
3300025683_13,Aerobe
3300011500_3,Aerobe
3300017697_16,Aerobe
3300024329_6,Aerobe
3300014887_40,Anaerobe
3300029634_12,Anaerobe
3300006461_6,Anaerobe
3300027607_48,Aerobe
3300026270_12,Aerobe
3300017470_11,Anaerobe
3300025691_27,Anaerobe
3300025809_60,Aerobe
3300017395_14,Aerobe
3300025870_31,Aerobe
3300007360_6,Anaerobe
3300011146_5,Aerobe
3300004630_7,Anaerobe
3300007722_43,Aerobe
3300029218_16,Anaerobe
3300014523_3,Anaerobe
3300025065_7,Aerobe
3300029610_29,Anaerobe
3300029595_17,Anaerobe
3300009702_59,Aerobe
3300012115_8,Aerobe
3300008472_11,Anaerobe
3300010151_9,Aerobe
3300006457_11,Aerobe
3300011772_7,Aerobe
3300025869_32,Aerobe
3300020222_90,Anaerobe
3300017395_12,Anaerobe
3300020400_25,Aerobe
3300007802_7,Anaerobe
3300021486_5,Anaerobe
3300028624_17,Anaerobe
3300025789_7,Aerobe
3300025878_1,Aerobe
3300017419_18,Anaerobe
3300000568_36,Anaerobe
3300029710_30,Anaerobe
3300007109_13,Anaerobe
3300010037_9,Aerobe
3300017688_4,Aerobe
3300028973_1,Facultative
3300023094_7,Aerobe
3300027791_33,Aerobe
3300021400_81,Anaerobe
3300028559_49,Aerobe
3300009702_28,Aerobe
3300015199_8,Aerobe
3300029793_16,Anaerobe
3300027679_7,Aerobe
3300011631_2,Aerobe
3300017938_23,Anaerobe
3300027325_24,Aerobe
3300020352_5,Aerobe
3300024355_3,Aerobe
3300025849_38,Aerobe
3300029755_13,Anaerobe
3300027828_70,Aerobe
3300012521_16,Anaerobe
3300021424_46,Aerobe
3300029769_19,Anaerobe
3300012889_31,Anaerobe
3300026762_2,Aerobe
3300012125_5,Aerobe
3300021488_2,Aerobe
3300025702_47,Anaerobe
3300014832_13,Aerobe
3300013132_90,Aerobe
3300006460_34,Aerobe
3300026267_14,Aerobe
3300025421_4,Aerobe
3300017505_17,Aerobe
3300010269_6,Anaerobe
3300029373_12,Anaerobe
3300025727_38,Aerobe
3300024058_18,Aerobe
3300020128_8,Aerobe
3300011997_21,Anaerobe
3300024309_7,Aerobe
3300025897_53,Aerobe
3300025623_16,Aerobe
3300015360_71,Anaerobe
3300021343_14,Aerobe
3300012194_2,Aerobe
3300028398_31,Anaerobe
3300011206_2,Aerobe
3300011586_3,Aerobe
3300009540_44,Aerobe
3300026202_12,Aerobe
3300029256_18,Anaerobe
3300014769_5,Anaerobe
3300029737_14,Anaerobe
3300025161_40,Aerobe
3300010399_30,Aerobe
3300025487_13,Aerobe
3300027672_20,Aerobe
3300027340_7,Aerobe
3300025459_6,Anaerobe
3300011196_3,Aerobe
3300029098_20,Anaerobe
3300025396_7,Aerobe
3300029422_19,Anaerobe
3300027751_17,Aerobe
3300007297_17,Aerobe
3300020139_24,Aerobe
3300014963_31,Anaerobe
3300025870_19,Aerobe
3300007128_1,Anaerobe
3300027279_15,Anaerobe
3300025250_5,Aerobe
3300011933_16,Anaerobe
3300025648_16,Anaerobe
3300006258_3,Anaerobe
3300007043_8,Anaerobe
3300029379_32,Anaerobe
3300010267_5,Aerobe
3300020463_18,Aerobe
3300021318_16,Facultative
3300025677_24,Anaerobe
3300027815_97,Aerobe
3300020364_18,Anaerobe
3300027759_33,Aerobe
3300006320_16,Anaerobe
3300029056_11,Anaerobe
3300006563_2,Facultative
3300009702_112,Aerobe
